pattern,N,%
add;icmp,40300,7
icmp;br,40300,7
shl;sdiv,40000,7
icmp;select,40000,7
getelementptr;load,39800,7
br;add,27122,5
add;store,20400,3
br;getelementptr,20200,3
getelementptr;getelementptr,20000,3
load;add,20000,3
store;icmp,20000,3
br;shl,20000,3
sdiv;shl,20000,3
sdiv;add,20000,3
icmp;icmp,20000,3
select;icmp,20000,3
select;br,20000,3
br;load,19800,3
load;getelementptr,19800,3
load;br,19800,3
call;br,7223,1
add;call,7122,1
call;srem,1000,0
srem;add,800,0
getelementptr;store,800,0
store;call,600,0
br;call,401,0
add;getelementptr,400,0
getelementptr;call,200,0
srem;getelementptr,200,0
store;add,200,0
store;getelementptr,200,0
store;br,200,0
call;add,100,0
alloca;call,1,0
call;call,1,0
call;ret,1,0
