pattern,N,%
add;icmp;br,20300,3
icmp;br;getelementptr,20099,3
br;getelementptr;getelementptr,20000,3
getelementptr;getelementptr;load,20000,3
getelementptr;load;add,20000,3
load;add;store,20000,3
add;store;icmp,20000,3
store;icmp;br,20000,3
br;shl;sdiv,20000,3
shl;sdiv;shl,20000,3
sdiv;shl;sdiv,20000,3
shl;sdiv;add,20000,3
sdiv;add;icmp,20000,3
add;icmp;icmp,20000,3
icmp;icmp;select,20000,3
icmp;select;icmp,20000,3
select;icmp;select,20000,3
icmp;select;br,20000,3
select;br;add,20000,3
br;add;icmp,20000,3
icmp;br;load,19800,3
br;load;getelementptr,19800,3
load;getelementptr;load,19800,3
getelementptr;load;br,19800,3
load;br;shl,19800,3
br;add;call,7122,1
add;call;br,7122,1
call;br;add,7122,1
call;srem;add,800,0
store;call;srem,600,0
icmp;br;call,401,0
srem;add;store,400,0
add;store;call,400,0
srem;add;getelementptr,400,0
add;getelementptr;store,400,0
br;getelementptr;call,200,0
getelementptr;call;srem,200,0
getelementptr;store;call,200,0
call;srem;getelementptr,200,0
srem;getelementptr;store,200,0
getelementptr;store;add,200,0
store;add;icmp,200,0
br;call;srem,200,0
getelementptr;store;getelementptr,200,0
store;getelementptr;store,200,0
getelementptr;store;br,200,0
store;br;shl,200,0
call;br;getelementptr,101,0
br;call;br,100,0
br;call;add,100,0
