pattern,N,%
add;icmp;br;getelementptr,20099,3
br;getelementptr;getelementptr;load,20000,3
getelementptr;getelementptr;load;add,20000,3
getelementptr;load;add;store,20000,3
load;add;store;icmp,20000,3
add;store;icmp;br,20000,3
br;shl;sdiv;shl,20000,3
shl;sdiv;shl;sdiv,20000,3
sdiv;shl;sdiv;add,20000,3
shl;sdiv;add;icmp,20000,3
sdiv;add;icmp;icmp,20000,3
add;icmp;icmp;select,20000,3
icmp;icmp;select;icmp,20000,3
icmp;select;icmp;select,20000,3
select;icmp;select;br,20000,3
icmp;select;br;add,20000,3
br;add;icmp;br,20000,3
icmp;br;getelementptr;getelementptr,19900,3
store;icmp;br;load,19800,3
icmp;br;load;getelementptr,19800,3
br;load;getelementptr;load,19800,3
load;getelementptr;load;br,19800,3
getelementptr;load;br;shl,19800,3
load;br;shl;sdiv,19800,3
select;br;add;icmp,12878,2
select;br;add;call,7122,1
br;add;call;br,7122,1
add;call;br;add,7122,1
call;br;add;icmp,7122,1
call;srem;add;store,400,0
srem;add;store;call,400,0
add;store;call;srem,400,0
store;call;srem;add,400,0
call;srem;add;getelementptr,400,0
srem;add;getelementptr;store,400,0
add;icmp;br;call,201,0
br;getelementptr;call;srem,200,0
getelementptr;call;srem;add,200,0
add;getelementptr;store;call,200,0
getelementptr;store;call;srem,200,0
store;call;srem;getelementptr,200,0
call;srem;getelementptr;store,200,0
srem;getelementptr;store;add,200,0
getelementptr;store;add;icmp,200,0
store;add;icmp;br,200,0
store;icmp;br;call,200,0
icmp;br;call;srem,200,0
br;call;srem;add,200,0
add;getelementptr;store;getelementptr,200,0
getelementptr;store;getelementptr;store,200,0
